name,source,gender,wikidata,type
"1-й Брагинский переулок",wikidata,,Q2470405,way
"1-й Брестский переулок",wikidata,,Q140147,way
"2-й Брестский переулок",wikidata,,Q140147,way
"2-й Велосипедный переулок",wikidata,,Q17093927,way
"2-й переулок Челюскинцев",wikidata,,Q572950,way
"3-й Брестский переулок",wikidata,,Q140147,way
"4-й Брестский переулок",wikidata,,Q140147,way
"5-й Брестский переулок",wikidata,,Q140147,way
"Бобруйская улица",wikidata,,Q207294,way
"Брестская улица",wikidata,,Q140147,way
"Велосипедный переулок",wikidata,,Q17093927,way
"Витебская улица",wikidata,,Q102217,way
"Вокзальная улица",wikidata,,Q801196,way
"Гродненская улица",wikidata,,Q181376,way
"Грушевская улица",wikidata,,Q4150887,way
"Грушевский переулок",wikidata,,Q4150887,way
"Жлобинская улица",wikidata,,Q837765,way
"Кобринская улица",wikidata,,Q955992,way
"Лидская улица",wikidata,,Q241475,way
"Минская улица",wikidata,,Q2280,way
"Могилёвская улица",wikidata,,Q154835,way
"Мозырская улица",wikidata,,Q386487,relation
"Оршанская улица",wikidata,,Q208609,way
"Оршанский проезд",wikidata,,Q208609,way
"Пинская улица",wikidata,,Q204150,way
"Площадь Независимости",wikidata,,Q37055,relation
"Раковская улица",wikidata,,Q2500789,way
"проспект Независимости",wikidata,,Q37055,way
"улица Кирилла и Мефодия",wikidata,,Q239925,way
"улица Острожских",wikidata,,Q1642242,way
"улица Прушинских",wikidata,,Q487989,way
"улица Тышкевичей",wikidata,,Q2006978,way
"улица Челюскинцев",wikidata,,Q572950,way
"1 Радиаторная",,,,way
"1-й Аэрофлотский переулок",,,,way
"1-й Вязынский переулок",,,,way
"1-й Гольшанский переулок",,,,way
"1-й Детский переулок",,,,way
"1-й Енисейский переулок",,,,way
"1-й Железнодорожный переулок",,,,way
"1-й Загородный переулок",,,,way
"1-й Запорожский переулок",,,,way
"1-й Заречный переулок",,,,way
"1-й Земледельческий переулок",,,,way
"1-й Зимний переулок",,,,way
"1-й Извозный переулок",,,,way
"1-й Измайловский переулок",,,,way
"1-й Кольцевой проезд",,,,way
"1-й Короткий переулок",,,,way
"1-й Кривичский переулок",,,,way
"1-й Летний переулок",,,,way
"1-й Марусинский переулок",,,,way
"1-й Мельничный переулок",,,,way
"1-й Наклонный переулок",,,,way
"1-й Осенний переулок",,,,way
"1-й Переходный переулок",,,,way
"1-й Подольский переулок",,,,way
"1-й Подшипниковый переулок",,,,way
"1-й Полиграфический переулок",,,,way
"1-й Путепроводный переулок",,,,way
"1-й Радиаторный переулок",,,,way
"1-й Рижский переулок",,,,way
"1-й Свирский переулок",,,,way
"1-й Силикатный переулок",,,,way
"1-й Сморговский переулок",,,,way
"1-й Твёрдый переулок",,,,way
"1-й Тиражный переулок",,,,way
"1-й Топографический переулок",,,,way
